"","x"
"535","BREVES"
"536","CANTA"
"537","CARACARAI"
"538","LARANJAL DO JARI"
"539","MUCAJAI"
"540","PORTO GRANDE"
"541","PRESIDENTE FIGUEIREDO"
"542","RORAINOPOLIS"
"543","SANTANA"
"544","TARAUACA"
"545","BARRA"
"546","CAMPO BELO"
"547","CHUI"
"548","LARANJEIRAS DO SUL"
"549","OLIVEIRA"
"550","SANTO ANTONIO DA PLATINA"
"551","SAO FRANCISCO DE ITABAPOANA"
"552","CALCOENE"
"553","OIAPOQUE"
"554","XAPURI"
"555","EMBU DAS ARTES"
"556","PLANALTINA"
"557","PARATY"
"558","SANT'ANA DO LIVRAMENTO"
